Référence	ContexteGauche	Pivot	ContexteDroit
1715_Lesage_GilBlas1	quel en fut l’événement. Il y	avait	déjà plus d’une heure qu’il était nuit quand nous arrivâmes
1715_Lesage_GilBlas1	trois jours. Outre que la goutte l’	avait	pris violemment, un rhumatisme le tenait entrepris de tous ses membres
1715_Lesage_GilBlas1	le salon, où un des voleurs qui	avait	été chirurgien, visita les blessures du lieutenant et du cavalier,
1715_Lesage_GilBlas1	, on voulut voir ce qu’il y	avait	dans les malles. Les unes se trouvèrent remplies de dentelles et
1715_Lesage_GilBlas1	devait me le pardonner ; que l’action	avait	été vive ; et que, pour un jeune homme qui n’
1715_Lesage_GilBlas1	que, pour un jeune homme qui n’	avait	jamais vu le feu, je ne m’étais point mal tiré
1715_Lesage_GilBlas1	que, depuis son indisposition, la cuisinière	avait	la clef de la grille. Cette pensée m’échauffa l’imagination
1715_Lesage_GilBlas1	Elle parlait à la dame inconnue, qui	avait	repris ses esprits, et qui, considérant toute son infortune,
1715_Lesage_GilBlas1	était alors si accablé des douleurs qu’il	avait	souffertes et de celles qu’il souffrait encore, que je tirai
1715_Lesage_GilBlas1	la confirmer dans la bonne opinion qu’elle	avait	conçue de moi. Par là je l’engageai à me donner
1715_Lesage_GilBlas1	solides me déterminèrent en sa faveur. Il	avait	de l’esprit, de la discrétion, de la valeur et
1715_Lesage_GilBlas1	endroit écarté don André de Baësa, qui	avait	été l’un de ses rivaux. Ils se piquèrent l’un
1715_Lesage_GilBlas1	je ne recevais aucune nouvelle. Il m’	avait	pourtant promis, dans nos tristes adieux, qu’il aurait soin
1715_Lesage_GilBlas1	, dans le royaume de Fez, il	avait	perdu la vie dans une bataille. Un homme revenu depuis peu
1715_Lesage_GilBlas1	ce rapport, en m’assurant qu’il	avait	parfaitement connu don Alvar de Mello ; qu’il avait servi dans
1715_Lesage_GilBlas1	connu don Alvar de Mello ; qu’il	avait	servi dans l’armée portugaise avec lui, et qu’il l’
1715_Lesage_GilBlas1	portugaise avec lui, et qu’il l’	avait	vu périr dans l’action. Il ajoutait à cela d’autres
1715_Lesage_GilBlas1	royaume de Fez, comme on nous l’	avait	rapporté, il n’était pas raisonnable d’ensevelir plus longtemps mes
1715_Lesage_GilBlas1	avec Inès, celle de mes femmes qui	avait	le plus de part à ma confiance. Je lui dis le
1715_Lesage_GilBlas1	et elle s’imagina qu’une légère ressemblance	avait	trompé mes yeux. Rassurez -vous, madame, me dit -elle
1715_Lesage_GilBlas1	cesse la situation où ma fatale tendresse vous	avait	réduite ; je me peignais dona Mencia dans les pleurs : vous
1715_Lesage_GilBlas1	rien prendre de ce que le marquis m’	avait	donné en m’épousant. Nous prîmes la route du royaume de
1715_Lesage_GilBlas1	Don Alvar me contait la triste aventure qui	avait	donné lieu au bruit de sa mort, et comment, après
1715_Lesage_GilBlas1	, après cinq années d’esclavage, il	avait	recouvré la liberté, quand nous rencontrâmes hier sur le chemin de
1715_Lesage_GilBlas1	ceux qui ont le regard terrible ; il	avait	l’air doux et riant. Dieu sait s’il en valait
1715_Lesage_GilBlas1	ventre pour voir s’il n’y en	avait	point dedans. Après qu’ils eurent si bien fait leur charge
1715_Lesage_GilBlas1	et le reste de l’habillement qui m’	avait	porté malheur ; puis, m’exhortant moi -même à prendre courage
1715_Lesage_GilBlas1	sans voir personne que le concierge, qui	avait	soin de venir tous les matins renouveler ma provision. Dès que
1715_Lesage_GilBlas1	le bourreau de muletier, qui sans doute	avait	vendu ma valise avec tout ce qui était dedans, craignant d’
1715_Lesage_GilBlas1	obligé de restituer l’argent qu’il en	avait	touché, s’il avouait qu’il me reconnaissait, dit effrontément
1715_Lesage_GilBlas1	qui j’étais et qu’il ne m’	avait	jamais vu. Ah ! traître, m’écriai -je, confesse
1715_Lesage_GilBlas1	lui parlais d’une chose dont il n’	avait	aucune connaissance ; et comme il soutint jusqu’au bout que je
1715_Lesage_GilBlas1	fut le petit chantre de Mondognedo, qui	avait	aussi bien que moi craint la question et pris la fuite.
1715_Lesage_GilBlas1	moi -même mille bénédictions. Le petit chantre	avait	eu raison de ne pas vanter sa bourse ; j’y trouvai
1715_Lesage_GilBlas1	même temps je lui appris que don Alvar	avait	été tué par des voleurs, qu’ensuite on m’avait menée
1715_Lesage_GilBlas1	par des voleurs, qu’ensuite on m’	avait	menée dans un souterrain. Je racontai tout le reste ; et
1715_Lesage_GilBlas1	verser moins de larmes. Don Ambrosio n’	avait	pas un faux pressentiment de sa mort : il mourut le lendemain
1715_Lesage_GilBlas1	demeurai maîtresse du bien considérable dont il m’	avait	avantagée en m’épousant. Je n’en prétends pas faire un
1715_Lesage_GilBlas1	un air froid et malin qu’il n’	avait	pas besoin de cette assurance pour être persuadé que je ferais beaucoup
1715_Lesage_GilBlas1	, se débarrassant de son manteau qu’il	avait	sur le nez, laissa voir un gros sac qu’il portait
1715_Lesage_GilBlas1	. À l’apparition du sac, qui	avait	tout l’air d’être tout plein d’espèces, j’ouvris
1715_Lesage_GilBlas1	les compter, quand l’hôte, qui	avait	entendu les paroles du porteur, entra pour savoir ce qu’il
1715_Lesage_GilBlas1	, entra pour savoir ce qu’il y	avait	dans le sac. La vue de mes espèces, étalées sur
1715_Lesage_GilBlas1	et j’arrêtai le valet dont on m’	avait	parlé. C’était un garçon de trente ans, qui avait
1715_Lesage_GilBlas1	était un garçon de trente ans, qui	avait	l’air simple et dévot. Il me dit qu’il était
1715_Lesage_GilBlas1	de résister à ses instances. Il y	avait	à la porte de l’hôtellerie un carrosse qui nous attendait.
1715_Lesage_GilBlas1	ma valise dedans, parce qu’il y	avait	, disait -elle, bien des fripons à Valladolid ; ce qui
1715_Lesage_GilBlas1	par là sevrer de la dépense qu’il	avait	compté que je ferais chez lui avec la dame, l’écuyer
1715_Lesage_GilBlas1	vingt ou trente bougies éclairaient. Il y	avait	là plusieurs domestiques à qui la dame demanda d’abord si don
1715_Lesage_GilBlas1	nous recommandât de vous régaler ; elle n’	avait	seulement qu’à nous mander que vous deviez passer par Valladolid :
1715_Lesage_GilBlas1	passâmes ensuite dans une chambre où l’on	avait	servi. Nous nous mîmes à table, le cavalier, la
1715_Lesage_GilBlas1	ses discours les douces œillades qu’elle m’	avait	jetées. Elle me prit par la main, et regardant ma
1715_Lesage_GilBlas1	elle me montra un gros rubis qu’elle	avait	au doigt ; et, pendant que je le considérais, elle
1715_Lesage_GilBlas1	je sentis tout ce que cette retraite précipitée	avait	d’obligeant pour moi ; et je jugeai que je ne passerais
1715_Lesage_GilBlas1	mon valet, après l’ordre qu’il	avait	reçu de moi. Ambroise, dis -je en moi -même,
1715_Lesage_GilBlas1	une entière connaissance de mes affaires, m’	avait	vendu à ces fourbes. Au lieu de n’imputer qu’à
1715_Lesage_GilBlas1	, malgré ses démonstrations, qu’il n’	avait	pas moins de part à cette fourberie que mon hôte de Burgos
1715_Lesage_GilBlas1	Je jugeais bien qu’Ambroise ne les y	avait	pas laissées ; et plût au ciel que j’eusse toujours jugé
1715_Lesage_GilBlas1	que, dès le soir même, il	avait	eu le soin de les en retirer. Ainsi, comptant de
1715_Lesage_GilBlas1	, que Fabrice vit bien qu’on m’	avait	joué quelque tour. Il me pressa de lui dire pourquoi je
1715_Lesage_GilBlas1	de m’armer contre le Pâris qui m’	avait	soufflé mon Hélène, je lui sus bon gré de m’en
1715_Lesage_GilBlas1	chez un gros marchand de drap, qui	avait	un fils libertin. J’y trouvai un asile contre l’abstinence
1715_Lesage_GilBlas1	étais menacé, et l’air satisfait qu’	avait	Fabrice, me persuadant encore plus que ses raisons, je me
1715_Lesage_GilBlas1	de velours brodé voulût devenir laquais ; il	avait	plutôt lieu de penser que je venais lui en demander un.
1715_Lesage_GilBlas10	, était de ce caractère -là. Il	avait	beau voir périr tous les jours vingt personnes entre ses mains,
1715_Lesage_GilBlas10	ni se donner de grands mouvements, il	avait	abandonné le pavé à trois ou quatre autres docteurs qui s’étaient
1715_Lesage_GilBlas10	au docteur une soucoupe sur laquelle il y	avait	un petit pain mollet, un verre avec deux carafes, dont
1715_Lesage_GilBlas10	il but un coup, où il y	avait	à la vérité les trois quarts d’eau ; mais cela ne
1715_Lesage_GilBlas10	il ne pouvait se rappeler où il m’	avait	vu. Je n’en suis point étonné, repris -je ;
1715_Lesage_GilBlas10	bourse de son maître. Il n’y	avait	que Scipion qui fût un peu spadassin. Il était nuit quand
1715_Lesage_GilBlas10	ce petit éveillé de Gil Blas, qui	avait	plus d’esprit qu’il n’était gros. Il me semble
1715_Lesage_GilBlas10	environné des ombres de la mort, il	avait	encore quelque connaissance. Mon cher ami, lui dit ma mère
1715_Lesage_GilBlas10	Perez était retombé en enfance. Il n’	avait	plus de mémoire, plus de jugement. Il ne me servit
1715_Lesage_GilBlas10	n’y parut pas sensible. Ma mère	avait	beau lui dire que j’étais son neveu Gil Blas, il
1715_Lesage_GilBlas10	fit un ample détail des chagrins qu’elle	avait	essuyés dans des maisons où elle avait été duègne, et me
1715_Lesage_GilBlas10	elle avait essuyés dans des maisons où elle	avait	été duègne, et me dit là-dessus une infinité de choses que
1715_Lesage_GilBlas10	enterrer son père ; mais il n’en	avait	point pour le nourrir. Il aurait mieux valu, disait l’
1715_Lesage_GilBlas10	d’effets des discours que le jeune épicier	avait	tenus de moi dans la ville, m’inspirèrent tant d’aversion
1715_Lesage_GilBlas10	mortifiée de l’accueil dont le peuple m’	avait	régalé, ne s’opposa point à un si prompt départ.
1715_Lesage_GilBlas10	, représente -toi la petite maison qu’Horace	avait	dans le pays des Sabins près de Tibur, et qui lui
1715_Lesage_GilBlas10	l’agréable : il me dit qu’il	avait	fait une ample provision de toutes sortes d’excellents vins ; et
1715_Lesage_GilBlas10	il espérait qu’un garçon comme lui qui	avait	été six ans cuisinier de monseigneur l’archevêque de Valence, saurait
1715_Lesage_GilBlas10	magnificence. Dans l’un, il y	avait	une tapisserie des Pays-Bas, avec un lit et des chaises de
1715_Lesage_GilBlas10	de n’avoir plus le cuisinier qui l’	avait	faite. Nous avions à la vérité beaucoup d’appétit, ce
1715_Lesage_GilBlas10	endroit frais et agréable. Si mon secrétaire	avait	paru jusque -là fort satisfait de ce qu’il avait vu,
1715_Lesage_GilBlas10	jusque -là fort satisfait de ce qu’il	avait	vu, il le fut encore davantage quand il vit le jardin
1715_Lesage_GilBlas10	c’était par mon crédit que don Alphonse	avait	obtenu le gouvernement du royaume de Valence, car tout se sait
1715_Lesage_GilBlas10	une table de marbre noir qu’il y	avait	au-dessus de la porte : La posada de los representantes [1
1715_Lesage_GilBlas10	genre, avec un gentilhomme de Madrid qui	avait	de l’esprit et du goût. Ils avaient tous été à
1715_Lesage_GilBlas10	don Alphonse, à l’appartement qui m’	avait	été préparé. J’y trouvai un bon lit, où ma
1715_Lesage_GilBlas10	Il marchait les yeux baissés, et il	avait	l’air si dévot, qu’il s’attirait les regards de
1715_Lesage_GilBlas10	moi ; et mon cœur, qui n’	avait	jamais senti de remords, en est présentement déchiré. Ah !
1715_Lesage_GilBlas10	goût pour l’oraison au besoin qu’on	avait	de lui. Il acquit une si parfaite connaissance des intérêts de
1715_Lesage_GilBlas10	précipitation mon secrétaire pour lui demander où il	avait	pris ces livres. Je les ai trouvés, me dit -il
1715_Lesage_GilBlas10	faire mon appartement, comme don César en	avait	fait le sien. Le lit de ce seigneur y était encore
1715_Lesage_GilBlas10	portraits de tous nos rois. Il y	avait	auprès d’une fenêtre, d’où l’on découvrait une campagne
1715_Lesage_GilBlas10	dernière sorte d’ouvrages, puisqu’il en	avait	fait une si bonne provision. J’avouerai, à ma honte
1715_Lesage_GilBlas10	la simplicité de son habillement. Elle n’	avait	point de coiffure, ses cheveux étaient seulement noués par derrière avec
1715_Lesage_GilBlas10	avec une impatience mêlée de crainte. Il	avait	un air gai dont je tirai un bon augure. Si j’
1715_Lesage_GilBlas10	qui je confirmai ce que mon ambassadeur lui	avait	dit. Ce bon laboureur, homme simple et plein de franchise
1715_Lesage_GilBlas10	Impatient de savoir ce que sa fille m’	avait	répondu, et prêt à la gronder si elle eût marqué la
1715_Lesage_GilBlas10	qui me regarderait, me dit qu’elle	avait	entendu parler d’Antonia très avantageusement ; mais, ajouta-t -elle par
1715_Lesage_GilBlas10	à quatre mules, dans lequel il y	avait	des couturiers qui apportaient de belles étoffes de soie pour habiller la
1715_Lesage_GilBlas10	les riches laboureurs des environs, que Basile	avait	invités aux noces d’Antonia. Ils avaient avec eux leurs filles
1715_Lesage_GilBlas10	par les cuisiniers du gouverneur que le repas	avait	été préparé ; ce qui suppose qu’il n’y manquait rien
1715_Lesage_GilBlas10	rien. Les bons vins dont maître Joachim	avait	fait provision pour moi y furent prodigués ; les convives commençaient à
1715_Lesage_GilBlas10	acquitta pas mal pour une personne qui n’	avait	que quelques principes de danse qu’elle avait reçus à Albarazin,
1715_Lesage_GilBlas10	avait que quelques principes de danse qu’elle	avait	reçus à Albarazin, chez une bourgeoise de ses parentes. Pour
1715_Lesage_GilBlas10	à la sienne les chagrins qu’il lui	avait	causés. Béatrix, qui avait l’esprit souple et liant,
1715_Lesage_GilBlas10	il lui avait causés. Béatrix, qui	avait	l’esprit souple et liant, s’insinua sans peine dans les
1715_Lesage_GilBlas10	fortune dans une espèce de havre-sac qu’elle	avait	sur le dos. Où allez -vous ainsi, ma mignonne ?
1715_Lesage_GilBlas10	-il en adoucissant sa voix, qu’il	avait	naturellement très rude. Seigneur cavalier, lui répondit -elle, je
1715_Lesage_GilBlas10	pour un homme tel que lui, qui	avait	de la peine à vivre de son emploi, quoiqu’il sût
1715_Lesage_GilBlas10	reprocher que le contraire de ce qu’elle	avait	prédit était arrivé, elle répondait froidement qu’il fallait s’en
1715_Lesage_GilBlas10	pour l’obliger à révéler l’avenir,	avait	quelquefois la malice de la tromper. Lorsque, pour l’honneur
1715_Lesage_GilBlas10	los Niños [1]. Il y	avait	dans cette maison de charitables ecclésiastiques, qui, bien payés pour
1715_Lesage_GilBlas10	et des coups de fouet qu’il m’	avait	fait recevoir, j’en déchirai les feuillets en disant avec colère
1715_Lesage_GilBlas10	qui portait de larges lunettes, et qui	avait	un air vénérable. Il s’approcha de moi ; et,
1715_Lesage_GilBlas10	nous bûmes d’un excellent vin dont il	avait	aussi une bonne provision. Eh bien ! mon poulet, me
1715_Lesage_GilBlas10	qu’il les réconciliait ; enfin, il	avait	des remèdes pour mille sortes de maladies, et apprenait des oraisons
1715_Lesage_GilBlas10	nuit. Le frère Chrysostome, qui m’	avait	fait fête d’un habillement d’ermite, m’en fit un
1715_Lesage_GilBlas10	qu’il ferait à Tolède, où il	avait	coutume d’aller tout seul une fois la semaine. J’en
1715_Lesage_GilBlas10	était la reconnaissance des paysans que l’ermite	avait	guéris par ses remèdes, et des paysannes qui avaient eu des
1715_Lesage_GilBlas10	était une veuve de quarante ans, qui	avait	toutes les qualités requises pour bien faire ses petites affaires. Cette
1715_Lesage_GilBlas10	un coin de notre grenier où il y	avait	de la paille ; et le croyant là plus en sûreté qu’
1715_Lesage_GilBlas10	ouvrit ; et, voyant qu’il y	avait	dedans des écus et des pistoles, elle crut ou fit semblant
1715_Lesage_GilBlas10	m’inquiétais guère. Le curé, qui	avait	son dessein, n’en demeura pas là. Mon enfant,
1715_Lesage_GilBlas10	matins, avant que de sortir, il	avait	soin de tirer de sa poche trois réaux qu’il me donnait
1715_Lesage_GilBlas10	plus convenable à mon humeur. Il y	avait	déjà près d’un mois que je menais une vie si heureuse
1715_Lesage_GilBlas10	porté son linge sale chez une dame qui	avait	soin de le blanchir et de le parfumer. Je répondis que
1715_Lesage_GilBlas10	plus de lumières qu’il n’y en	avait	dans le temple de Salomon. Tenez, petit malheureux, me
1715_Lesage_GilBlas10	Je lui montrai le coffre où mon maître	avait	déjà serré ses nippes, et je lui demandai s’il pourrait
1715_Lesage_GilBlas10	j’avais plus de malice qu’il n’	avait	cru, me dit, en me donnant mon congé d’un
1715_Lesage_GilBlas10	offrirent à ma vue, tant la Providence	avait	soin d’en pourvoir l’archevêché ! Ce fut alors que,
1715_Lesage_GilBlas10	, très jolie, très vive, qui	avait	tout l’air de n’être pas exactement fidèle à son cuisinier
1715_Lesage_GilBlas10	sur le lit de gazon qui m’y	avait	été préparé ; mais au lieu de m’y endormir, je
1715_Lesage_GilBlas10	pistoles, et, comme il n’y	avait	rien à rabattre avec lui, il fallut en passer par là
1715_Lesage_GilBlas10	suis très satisfait de ce fripier. Il	avait	bien raison de l’être ; car je suis sûr qu’il
1715_Lesage_GilBlas10	bien dans cette hôtellerie, où il y	avait	beaucoup de monde ordinairement. Je comptai le soir au souper jusqu’
1715_Lesage_GilBlas10	sans pouvoir rendre compte de ce qu’il	avait	dit, s’il n’eût trouvé moyen de m’intéresser dans
1715_Lesage_GilBlas10	nous étant assis sur un long banc qui	avait	pour le moins cent ans de service, il me tint ce
1715_Lesage_GilBlas10	poursuivit -il, que le seigneur Baltazar Velasquez	avait	besoin d’un laquais, je lui ai écrit ce matin en
1715_Lesage_GilBlas10	avoir remercié le religieux des bontés qu’il	avait	pour moi, je sortis du monastère avec le mendiant, qui
1715_Lesage_GilBlas10	qu’il était tel qu’on me l’	avait	dépeint. Il me parut même d’une si grande simplicité,
1715_Lesage_GilBlas10	était veuf depuis quatre années, et il	avait	deux enfants, un garçon qui achevait son cinquième lustre, et
1715_Lesage_GilBlas10	épargné pour en faire un honnête homme,	avait	tous les vices d’un jeune libertin. Il passait quelquefois deux
1715_Lesage_GilBlas10	visite au père Alexis, avec lequel il	avait	ordinairement de fort longs entretiens. Je n’en demeurai pas là
1715_Lesage_GilBlas10	m’attendait dans une maison où il m’	avait	donné rendez -vous, et que je rejoignis promptement en lui apprenant
1715_Lesage_GilBlas10	enlevai un second sac, où il y	avait	, ainsi que dans le premier, cinq cents écus, desquels
1715_Lesage_GilBlas10	en état de satisfaire la passion qu’il	avait	pour les femmes et pour le jeu, il eut le malheur
1715_Lesage_GilBlas10	cette ressource, considérant qu’il n’en	avait	plus aucune autre, tomba dans une profonde et noire mélancolie qui
1715_Lesage_GilBlas10	le laisser seul songer à ce qu’il	avait	à faire dans une conjoncture si délicate. J’étais fort en
1715_Lesage_GilBlas10	sans rien lui témoigner de ce qu’il	avait	dans l’âme : Mon fils, j’ai reçu une lettre
1715_Lesage_GilBlas10	effets. La conduite que le jeune Velasquez	avait	tenue me fit faire de sérieuses réflexions sur la mienne. Je
1715_Lesage_GilBlas10	son bon esprit. D’ailleurs, il	avait	beaucoup de valeur et de probité : il ne lui manquait que
1715_Lesage_GilBlas10	qui, l’aimant comme un fils,	avait	soin de lui faire tenir l’argent dont il avait besoin pour
1715_Lesage_GilBlas10	de lui faire tenir l’argent dont il	avait	besoin pour s’entretenir. Il était toujours vêtu proprement : on
1715_Lesage_GilBlas10	de me proposer sa main, elle qui	avait	toujours persisté dans la résolution de soutenir jusqu’au bout son veuvage
1715_Lesage_GilBlas10	de les voir changer ! Heureusement la dame	avait	encore plus que moi cette affaire à cœur ; et, bien
1715_Lesage_GilBlas10	maître dans un beau lit qu’on lui	avait	préparé, et où je crois qu’au fond de son âme
1715_Lesage_GilBlas10	mieux que celui de Velasquez. Comme elle	avait	réformé sa maison pendant son veuvage, elle la remit sur le
1715_Lesage_GilBlas10	la remit sur le même pied où elle	avait	été du vivant de son premier époux ; elle grossit son domestique
1715_Lesage_GilBlas10	encore plus fort, s’il y en	avait	, pour mieux vous exprimer l’impression que sa vue fit sur
1715_Lesage_GilBlas10	seigneur, qui aimait Julie ma maîtresse,	avait	formé la résolution de l’enlever, croyant ne pouvoir l’obtenir
1715_Lesage_GilBlas10	, me montrant une casserole où il y	avait	, à ce qu’il disait, un lapin déjà tout haché
1715_Lesage_GilBlas10	vous mettre à table. Il y en	avait	, dans la salle, une sur laquelle étaient deux couverts.
1715_Lesage_GilBlas10	, ou plutôt le souris dont il l’	avait	accompagnée, me parut mystérieux. Vous me cachez lui dis -je
1715_Lesage_GilBlas12	de Salamanque, qu’une affaire de famille	avait	attiré à Madrid, où il était né, et que le
1715_Lesage_GilBlas12	ce n’est pas tout ; il en	avait	une autre comme professeur émérite de collège ; et, de plus
1715_Lesage_GilBlas12	collège ; et, de plus, il	avait	tous les ans du public un revenu de deux ou trois cents
1715_Lesage_GilBlas12	par les livres de morale dogmatique qu’il	avait	coutume de faire imprimer. La manière dont il composait ses ouvrages
1715_Lesage_GilBlas12	était aussi grand commentateur, et il y	avait	tant d’érudition dans ses commentaires, qu’il faisait souvent des
1715_Lesage_GilBlas12	par hasard il entendait dire que quelque domestique	avait	fait une friponnerie, prends bien garde, mon enfant, de
1715_Lesage_GilBlas12	Ipigna était originaire de Madrid ; il y	avait	une parente appelée Catalina, qui était femme de chambre de Mme
1715_Lesage_GilBlas12	me levai, je congédiai mon médecin qui	avait	tant de pénétration, et je me défis de ma garde,
1715_Lesage_GilBlas12	un long entretien sur ce qu’il y	avait	à faire pour vaincre ma douleur. Ils jugèrent qu’il fallait
1715_Lesage_GilBlas12	permission de se retirer à Rome, n’	avait	pu l’obtenir, et qu’il lui était ordonné de se
1715_Lesage_GilBlas12	, je lui demandai ce qu’il y	avait	de nouveau. Bien des choses, me répondit -il. Depuis
