Référence	ContexteGauche	Pivot	ContexteDroit
1715_Lesage_GilBlas1	J’aimais tant la dispute, que j’	arrêtais	les passants, connus ou inconnus, pour leur proposer des arguments
1715_Lesage_GilBlas1	pour leur proposer des arguments. Je m’	adressais	quelquefois à des figures hibernoises qui ne demandaient pas mieux, et
1715_Lesage_GilBlas1	adressais quelquefois à des figures hibernoises qui ne	demandaient	pas mieux, et il fallait alors nous voir disputer ! Quels
1715_Lesage_GilBlas1	qui ne demandaient pas mieux, et il	fallait	alors nous voir disputer ! Quels gestes ! quelles grimaces ! quelles
1715_Lesage_GilBlas1	quelles grimaces ! quelles contorsions ! Nos yeux	étaient	pleins de fureur, et nos bouches écumantes ; on nous devait
1715_Lesage_GilBlas1	, et nos bouches écumantes ; on nous	devait	plutôt prendre pour des possédés que pour des philosophes. Je m’
1715_Lesage_GilBlas1	ce que tu sois placé. Il ne	pouvait	rien me proposer qui me fût plus agréable, car je mourais
1715_Lesage_GilBlas1	qui me fût plus agréable, car je	mourais	d’envie de voir le pays. Cependant j’eus assez de
1715_Lesage_GilBlas1	douleur de quitter un oncle à qui j’	avais	tant d’obligation, j’attendris le bonhomme, qui me donna
1715_Lesage_GilBlas1	me firent présent de leur bénédiction, qui	était	le seul bien que j’attendais d’eux. Aussitôt je montai
1715_Lesage_GilBlas1	, qui était le seul bien que j’	attendais	d’eux. Aussitôt je montai sur ma mule, et sortis
1715_Lesage_GilBlas1	ducats, sans compter quelques réaux que j’	avais	volés à mon très honoré oncle. La première chose que je
1715_Lesage_GilBlas1	et recompter dans mon chapeau. Je n’	étais	pas maître de ma joie. Je n’avais jamais vu autant
1715_Lesage_GilBlas1	pas maître de ma joie. Je n’	avais	jamais vu autant d’argent. Je ne pouvais me lasser de
1715_Lesage_GilBlas1	jamais vu autant d’argent. Je ne	pouvais	me lasser de le regarder et de le manier. Je le
1715_Lesage_GilBlas1	regarder et de le manier. Je le	comptais	peut-être pour la vingtième fois, quand tout à coup ma mule
1715_Lesage_GilBlas1	chemin. Je jugeai que quelque chose l’	effrayait	; je regardai ce que ce pouvait être : j’aperçus sur
1715_Lesage_GilBlas1	l’effrayait ; je regardai ce que ce	pouvait	être : j’aperçus sur la terre un chapeau renversé sur lequel
1715_Lesage_GilBlas1	terre un chapeau renversé sur lequel il y	avait	un rosaire à gros grains, et en même temps j’entendis
1715_Lesage_GilBlas1	Je tournai aussitôt les yeux du côté que	partait	la voix ; je vis au pied d’un buisson, à
1715_Lesage_GilBlas1	soldat qui, sur deux bâtons croisés,	appuyait	le bout d’une escopette qui me parut plus longue qu’une
1715_Lesage_GilBlas1	une pique, et avec laquelle il me	couchait	en joue. À cette vue, qui me fit trembler pour
1715_Lesage_GilBlas1	, pour montrer au soldat que j’en	usais	noblement. Il fut satisfait de ma générosité, et me donna
1715_Lesage_GilBlas1	plus vite : la longue habitude qu’elle	avait	de marcher pas à pas sous mon oncle lui avait fait perdre
1715_Lesage_GilBlas1	marcher pas à pas sous mon oncle lui	avait	fait perdre l’usage du galop. Je ne tirai pas de
1715_Lesage_GilBlas1	voyage. Je me représentai que je n’	étais	pas encore à Salamanque, et que je pourrais bien faire une
1715_Lesage_GilBlas1	entre les mains d’un muletier. C’	était	sans doute ce qu’il aurait dû faire ; mais il avait
1715_Lesage_GilBlas1	qu’il aurait dû faire ; mais il	avait	songé qu’en me donnant sa mule mon voyage me coûterait moins
1715_Lesage_GilBlas1	mon voyage me coûterait moins, et il	avait	plus pensé à cela qu’aux périls que je pouvais courir en
1715_Lesage_GilBlas1	pensé à cela qu’aux périls que je	pouvais	courir en chemin. Ainsi, pour réparer sa faute, je
1715_Lesage_GilBlas1	sa faute, je résolus, si j’	avais	le bonheur d’arriver à Pegnaflor, d’y vendre ma mule
1715_Lesage_GilBlas1	fusse jamais sorti d’Oviédo, je n’	ignorais	pas le nom des villes par où je devais passer : je
1715_Lesage_GilBlas1	pas le nom des villes par où je	devais	passer : je m’en étais fait instruire avant mon départ.
1715_Lesage_GilBlas1	où je devais passer : je m’en	étais	fait instruire avant mon départ. J’arrivai heureusement à Pegnaflor :
1715_Lesage_GilBlas1	chambre, pendant qu’un de ses valets	menait	ma mule à l’écurie. Cet hôte, le plus grand
1715_Lesage_GilBlas1	d’autrui, m’apprit qu’il se	nommait	André Corcuelo ; qu’il avait servi longtemps dans les armées du
1715_Lesage_GilBlas1	il se nommait André Corcuelo ; qu’il	avait	servi longtemps dans les armées du roi en qualité de sergent,
1715_Lesage_GilBlas1	et que, depuis quinze moins, il	avait	quitté le service pour épouser une fille de Castropol qui, bien
1715_Lesage_GilBlas1	bien que tant soit peu basanée, ne	laissait	pas de faire valoir le bouchon. Il me dit encore une
1715_Lesage_GilBlas1	moi, il me demanda d’où je	venais	, où j’allais, et qui j’étais. À quoi
1715_Lesage_GilBlas1	demanda d’où je venais, où j’	allais	, et qui j’étais. À quoi il me fallut répondre
1715_Lesage_GilBlas1	, où j’allais, et qui j’	étais	. À quoi il me fallut répondre article par article, parce
1715_Lesage_GilBlas1	répondre article par article, parce qu’il	accompagnait	d’une profonde révérence chaque question qu’il me faisait, en
1715_Lesage_GilBlas1	une profonde révérence chaque question qu’il me	faisait	, en me priant d’un air si respectueux d’excuser sa
1715_Lesage_GilBlas1	respectueux d’excuser sa curiosité que je ne	pouvais	me défendre de la satisfaire. Cela m’engagea dans un long
1715_Lesage_GilBlas1	parler du dessein et des raisons que j’	avais	de me défaire de ma mule, pour prendre la voie du
1715_Lesage_GilBlas1	me représenta là-dessus tous les accidents fâcheux qui	pouvaient	m’arriver sur la route ; il me rapporta même plusieurs histoires
1715_Lesage_GilBlas1	même plusieurs histoires sinistres de voyageurs. Je	croyais	qu’il ne finirait point. Il finit pourtant, en disant
1715_Lesage_GilBlas1	pourtant, en disant que, si je	voulais	vendre ma mule, il connaissait un honnête maquignon qui l’achèterait
1715_Lesage_GilBlas1	si je voulais vendre ma mule, il	connaissait	un honnête maquignon qui l’achèterait. Je lui témoignai qu’il
1715_Lesage_GilBlas1	mal. J’avoue qu’on n’en	pouvait	dire beaucoup de bien : mais, quand ç’aurait été la mule
1715_Lesage_GilBlas1	dire beaucoup de bien : mais, quand	ç’aurait	été la mule du pape, il y aurait trouvé à redire
1715_Lesage_GilBlas1	il y aurait trouvé à redire. Il	assurait	donc qu’elle avait tous les défauts du monde ; et,
1715_Lesage_GilBlas1	à redire. Il assurait donc qu’elle	avait	tous les défauts du monde ; et, pour mieux me le
1715_Lesage_GilBlas1	pour mieux me le persuader, il en	attestait	l’hôte, qui sans doute avait ses raisons pour en convenir
1715_Lesage_GilBlas1	en attestait l’hôte, qui sans doute	avait	ses raisons pour en convenir. Eh bien ! me dit froidement
1715_Lesage_GilBlas1	-là ? Après l’éloge qu’il en	avait	fait, et l’attestation du seigneur Corcuelo, que je croyais
1715_Lesage_GilBlas1	l’attestation du seigneur Corcuelo, que je	croyais	homme sincère et bon connaisseur, j’aurais donné ma mule pour
1715_Lesage_GilBlas1	je dis au marchand que je m’en	rapportais	à sa bonne foi ; qu’il n’avait qu’à priser
1715_Lesage_GilBlas1	à sa bonne foi ; qu’il n’	avait	qu’à priser la bête en conscience, et que je m’
1715_Lesage_GilBlas1	répondit qu’en intéressant sa conscience je le	prenais	par son faible. Ce n’était pas effectivement par son fort
1715_Lesage_GilBlas1	le prenais par son faible. Ce n’	était	pas effectivement par son fort ; car, au lieu de faire
1715_Lesage_GilBlas1	l’hôte me mena chez un muletier qui	devait	partir le lendemain pour Astorga. Ce muletier me dit qu’il
1715_Lesage_GilBlas1	Il m’apprit tout ce qu’on en	disait	dans la ville. Enfin, il allait de nouveau m’étourdir
1715_Lesage_GilBlas1	disait dans la ville. Enfin, il	allait	de nouveau m’étourdir de son babil importun, si par bonheur
1715_Lesage_GilBlas1	que je fus dans l’hôtellerie. C’	était	un jour maigre. On m’accommoda des œufs. Pendant qu’
1715_Lesage_GilBlas1	des œufs. Pendant qu’on me les	apprêtait	, je liai conversation avec l’hôtesse, que je n’avais
1715_Lesage_GilBlas1	conversation avec l’hôtesse, que je n’	avais	point encore vue. Elle me parut assez jolie ; et je
1715_Lesage_GilBlas1	l’aurait pas dit, que ce cabaret	devait	être fort achalandé. Lorsque l’omelette qu’on me faisait fut
1715_Lesage_GilBlas1	achalandé. Lorsque l’omelette qu’on me	faisait	fut en état de m’être servie, je m’assis tout
1715_Lesage_GilBlas1	tout seul à une table. Je n’	avais	pas encore mangé le premier morceau, que l’hôte entra,
1715_Lesage_GilBlas1	entra, suivi de l’homme qui l’	avait	arrêté dans la rue. Ce cavalier portait une longue rapière,
1715_Lesage_GilBlas1	avait arrêté dans la rue. Ce cavalier	portait	une longue rapière, et pouvait bien avoir trente ans. Il
1715_Lesage_GilBlas1	Ce cavalier portait une longue rapière, et	pouvait	bien avoir trente ans. Il s’approcha de moi d’un
1715_Lesage_GilBlas1	lui répondre sur-le-champ, parce qu’il me	tenait	si serré que je n’avais pas la respiration libre, et
1715_Lesage_GilBlas1	il me tenait si serré que je n’	avais	pas la respiration libre, et ce ne fut qu’après que
1715_Lesage_GilBlas1	lui dis : Seigneur cavalier, je ne	croyais	pas mon nom connu à Pegnaflor. Comment, connu ? reprit
1715_Lesage_GilBlas1	, à ses flatteries outrées, que c’	était	un de ces parasites que l’on trouve dans toutes les villes
1715_Lesage_GilBlas1	omelette avec tant d’avidité, qu’il	semblait	n’avoir mangé depuis trois jours. À l’air complaisant dont
1715_Lesage_GilBlas1	À l’air complaisant dont il s’y	prenait	, je vis bien qu’elle serait bientôt expédiée. J’en
1715_Lesage_GilBlas1	, qu’on nous la servit comme nous	achevions	, ou plutôt comme il achevait de manger la première. Il
1715_Lesage_GilBlas1	comme nous achevions, ou plutôt comme il	achevait	de manger la première. Il y procédait pourtant d’une vitesse
1715_Lesage_GilBlas1	achevait de manger la première. Il y	procédait	pourtant d’une vitesse toujours égale, et trouvait moyen, sans
1715_Lesage_GilBlas1	pourtant d’une vitesse toujours égale, et	trouvait	moyen, sans perdre un coup de dent, de me donner
1715_Lesage_GilBlas1	donner louanges sur louanges ; ce qui me	rendait	fort content de ma petite personne. Il buvait aussi fort souvent
1715_Lesage_GilBlas1	fort content de ma petite personne. Il	buvait	aussi fort souvent ; tantôt c’était à ma santé, et
1715_Lesage_GilBlas1	Il buvait aussi fort souvent ; tantôt c’	était	à ma santé, et tantôt à celle de mon père et
1715_Lesage_GilBlas1	et de ma mère, dont il ne	pouvait	assez vanter le bonheur d’avoir un fils tel que moi.
1715_Lesage_GilBlas1	que moi. En même temps, il	versait	du vin dans mon verre, et m’excitait à lui faire
1715_Lesage_GilBlas1	du vin dans mon verre, et m’	excitait	à lui faire raison. Je ne répondais point mal aux santés
1715_Lesage_GilBlas1	excitait à lui faire raison. Je ne	répondais	point mal aux santés qu’il me portait ; ce qui,
1715_Lesage_GilBlas1	répondais point mal aux santés qu’il me	portait	; ce qui, avec ses flatteries, me mit insensiblement de
1715_Lesage_GilBlas1	je demandai à l’hôte s’il n’	avait	pas de poisson à nous donner. Le seigneur Corcuelo, qui
1715_Lesage_GilBlas1	qui, selon toutes les apparences, s’	entendait	avec le parasite, me répondit : J’ai une truite excellente
1715_Lesage_GilBlas1	cela que me prévenir. Je m’en	sentais	offensé, et je dis fièrement à Corcuelo : Apportez -nous votre
1715_Lesage_GilBlas1	du reste. L’hôte, qui ne	demandait	pas mieux, se mit à l’apprêter, et ne tarda
1715_Lesage_GilBlas1	qu’il donna sur le poisson comme il	avait	donné sur les œufs. Il fut pourtant obligé de se rendre
1715_Lesage_GilBlas1	de peur d’accident, car il en	avait	jusqu’à la gorge. Enfin, après avoir bu et mangé
1715_Lesage_GilBlas1	disgrâces qui me sont arrivées. Je ne	pouvais	me consoler de m’être laissé tromper si grossièrement, ou,
1715_Lesage_GilBlas1	vers du nez, ou plutôt, ils	étaient	d’intelligence tous deux. Ah ! pauvre Gil Blas, meurs
1715_Lesage_GilBlas1	m’exhorter à ne tromper personne, ils	devaient	me recommander de ne pas me laisser duper. Agité de ces
1715_Lesage_GilBlas1	je ne pus dormir, et je n’	avais	pas encore fermé l’œil, lorsque le muletier me vint avertir
1715_Lesage_GilBlas1	le muletier me vint avertir qu’il n’	attendait	plus que moi pour partir. Je me levai aussitôt ; et
1715_Lesage_GilBlas1	levai aussitôt ; et pendant que je m’	habillais	, Corcuelo arriva avec un mémoire de la dépense, où la
1715_Lesage_GilBlas1	de la dépense, où la truite n’	était	pas oubliée ; et, non seulement il m’en fallut passer
1715_Lesage_GilBlas1	, de m’apercevoir que le bourreau se	ressouvenait	de mon aventure. Après avoir bien payé un souper dont j’
1715_Lesage_GilBlas1	Après avoir bien payé un souper dont j’	avais	fait si désagréablement la digestion, je me rendis chez le muletier
1715_Lesage_GilBlas1	pas seul avec le muletier : il y	avait	deux enfants de famille de Pegnaflor, un petit chantre de Mondognedo
1715_Lesage_GilBlas1	, un petit chantre de Mondognedo, qui	courait	le pays, et un jeune bourgeois d’Astorga, qui s’
1715_Lesage_GilBlas1	jeune bourgeois d’Astorga, qui s’en	retournait	chez lui avec une jeune personne qu’il venait d’épouser à
1715_Lesage_GilBlas1	chez lui avec une jeune personne qu’il	venait	d’épouser à Verco. Nous fîmes tous connaissance en peu de
1715_Lesage_GilBlas1	et chacun eut bientôt dit d’où il	venait	et où il allait. La nouvelle mariée, quoique jeune,
1715_Lesage_GilBlas1	dit d’où il venait et où il	allait	. La nouvelle mariée, quoique jeune, était si noire et
1715_Lesage_GilBlas1	. La nouvelle mariée, quoique jeune,	était	si noire et si peu piquante, que je ne prenais pas
1715_Lesage_GilBlas1	et si peu piquante, que je ne	prenais	pas grand plaisir à la regarder : cependant sa jeunesse et son
1715_Lesage_GilBlas1	la première hôtellerie en entrant. Cette maison	était	plus dans la campagne que dans le bourg, et il en
1715_Lesage_GilBlas1	que dans le bourg, et il en	connaissait	l’hôte pour un homme discret et complaisant. Il eut soin
1715_Lesage_GilBlas1	-il, on m’a volé. J’	avais	, dans un sac de cuir, cent pistoles. Il faut
1715_Lesage_GilBlas1	nous vint pas dans l’esprit que ce	pouvait	être une feinte, parce que nous ne nous connaissions point assez
1715_Lesage_GilBlas1	une feinte, parce que nous ne nous	connaissions	point assez pour répondre les uns des autres. Je dirai plus
1715_Lesage_GilBlas1	la même pensée. D’ailleurs, nous	étions	tous de jeunes sots. Nous ne savions pas quelles formalités s’
1715_Lesage_GilBlas1	étions tous de jeunes sots. Nous ne	savions	pas quelles formalités s’observent en pareil cas : nous crûmes de
1715_Lesage_GilBlas1	mulets, ravi de voir que son stratagème	produisait	l’effet qu’il en avait attendu, alla vanter cette ruse
1715_Lesage_GilBlas1	son stratagème produisait l’effet qu’il en	avait	attendu, alla vanter cette ruse ingénieuse à la bourgeoise, et
1715_Lesage_GilBlas1	à qui la mauvaise mine de son tentateur	prêtait	de nouvelles forces, fit une rigoureuse résistance et poussa de grands
1715_Lesage_GilBlas1	trouva près de l’hôtellerie, qu’elle	connaissait	pour un lieu digne de son attention, y entra et demanda
1715_Lesage_GilBlas1	de ces cris. L’hôte, qui	chantait	dans sa cuisine, et feignait de ne rien entendre, fut
1715_Lesage_GilBlas1	, qui chantait dans sa cuisine, et	feignait	de ne rien entendre, fut obligé de conduire le commandant et
1715_Lesage_GilBlas1	archers à la chambre de la personne qui	criait	. Ils arrivèrent bien à propos : l’Asturienne n’en pouvait
1715_Lesage_GilBlas1	bien à propos : l’Asturienne n’en	pouvait	plus. Le commandant, homme grossier et brutal, ne vit
1715_Lesage_GilBlas1	vit pas plus tôt de quoi il s’	agissait	, qu’il donna cinq ou six coups du bois de sa
1715_Lesage_GilBlas1	apostrophant dans des termes dont la pudeur n’	était	guère moins blessée que de l’action même qui les lui suggérait
1715_Lesage_GilBlas1	que de l’action même qui les lui	suggérait	. Ce ne fut pas tout : il se saisit du coupable
1715_Lesage_GilBlas1	, qui, malgré le désordre où elle	était	, voulut aller elle -même demander justice de cet attentat. Le
1715_Lesage_GilBlas1	ayant attentivement considérée, jugea que l’accusé	était	indigne de pardon. Il le fit dépouiller sur-le-champ et fustiger en
1715_Lesage_GilBlas1	, si le mari de l’Asturienne ne	paraissait	point, deux archers, aux frais et dépens du délinquant,
1715_Lesage_GilBlas1	et, sautant tous les fossés que je	trouvais	sur mon passage, j’arrivai enfin auprès d’une forêt.
1715_Lesage_GilBlas1	arrivai enfin auprès d’une forêt. J’	allais	m’y jeter et me cacher dans le plus épais hallier,
1715_Lesage_GilBlas1	ils me sommèrent de leur apprendre qui j’	étais	, d’où je venais, ce que je voulais aller faire
1715_Lesage_GilBlas1	apprendre qui j’étais, d’où je	venais	, ce que je voulais aller faire en cette forêt, et
1715_Lesage_GilBlas1	d’où je venais, ce que je	voulais	aller faire en cette forêt, et surtout de ne leur rien
1715_Lesage_GilBlas1	bien valoir la question dont le muletier nous	avait	fait fête, je leur répondis que j’étais un jeune homme
1715_Lesage_GilBlas1	fait fête, je leur répondis que j’	étais	un jeune homme d’Oviédo qui allait à Salamanque : je leur
1715_Lesage_GilBlas1	j’étais un jeune homme d’Oviédo qui	allait	à Salamanque : je leur contai même l’alarme qu’on venait
1715_Lesage_GilBlas1	je leur contai même l’alarme qu’on	venait	de nous donner, et j’avouai que la crainte d’être
1715_Lesage_GilBlas1	crainte d’être appliqué à la torture m’	avait	fait prendre la fuite. Ils firent un éclat de rire à
1715_Lesage_GilBlas1	éclat de rire à ce discours, qui	marquait	ma simplicité ; et l’un des deux me dit : Rassure
1715_Lesage_GilBlas1	nous enfonçâmes dans la forêt. Je ne	savais	ce que je devais penser de cette rencontre ; je n’en
1715_Lesage_GilBlas1	forêt. Je ne savais ce que je	devais	penser de cette rencontre ; je n’en augurais pourtant rien de
1715_Lesage_GilBlas1	penser de cette rencontre ; je n’en	augurais	pourtant rien de sinistre. Si ces gens -ci, disais -je
1715_Lesage_GilBlas1	de sinistre. Si ces gens -ci,	disais	-je en moi -même, étaient des voleurs, ils m’auraient
1715_Lesage_GilBlas1	-ci, disais -je en moi -même,	étaient	des voleurs, ils m’auraient volé et peut-être assassiné. Il
1715_Lesage_GilBlas1	, me dit un des cavaliers. J’	avais	beau regarder de tous côtés, je n’apercevais ni maison,
1715_Lesage_GilBlas1	beau regarder de tous côtés, je n’	apercevais	ni maison, ni cabane, pas la moindre apparence d’habitation
1715_Lesage_GilBlas1	trappe de bois couverte de broussailles, qui	cachait	l’entrée d’une longue allée en pente et souterraine, où
1715_Lesage_GilBlas1	eux -mêmes, comme des animaux qui y	étaient	accoutumés. Les cavaliers m’y firent entrer avec eux ; puis
1715_Lesage_GilBlas1	baissant la trappe avec des cordes qui y	étaient	attachées pour cet effet, voilà le digne neveu de mon oncle
1715_Lesage_GilBlas1	connus alors avec quelle sorte de gens j’	étais	, et l’on doit bien juger que cette connaissance m’ôta
1715_Lesage_GilBlas1	de mes sens ; je crus que j’	allais	perdre la vie avec mes ducats. Ainsi, me regardant comme
1715_Lesage_GilBlas1	qu’on conduit à l’autel, je	marchais	, déjà plus mort que vif, entre mes deux conducteurs,
1715_Lesage_GilBlas1	conducteurs, qui, sentant bien que je	tremblais	, m’exhortaient inutilement à ne rien craindre. Quand nous eûmes
1715_Lesage_GilBlas1	, sentant bien que je tremblais, m’	exhortaient	inutilement à ne rien craindre. Quand nous eûmes fait environ deux
1715_Lesage_GilBlas1	toujours, nous entrâmes dans une écurie qu’	éclairaient	deux grosses lampes de fer pendues à la voûte. Il y
1715_Lesage_GilBlas1	fer pendues à la voûte. Il y	avait	une bonne provision de paille et plusieurs tonneaux remplis d’orge.
1715_Lesage_GilBlas1	tonneaux remplis d’orge. Vingt chevaux y	pouvaient	être à l’aise ; mais il n’y avait alors que
1715_Lesage_GilBlas1	à l’aise ; mais il n’y	avait	alors que les deux qui venaient d’arriver. Un vieux nègre
1715_Lesage_GilBlas1	n’y avait alors que les deux qui	venaient	d’arriver. Un vieux nègre, qui paraissait pourtant encore assez
1715_Lesage_GilBlas1	d’arriver. Un vieux nègre, qui	paraissait	pourtant encore assez vigoureux, s’occupait à les attacher au râtelier
1715_Lesage_GilBlas1	qui paraissait pourtant encore assez vigoureux, s’	occupait	à les attacher au râtelier. Nous sortîmes de l’écurie ;
1715_Lesage_GilBlas1	la triste lueur de quelques autres lampes qui	semblaient	n’éclairer ces lieux que pour en montrer l’horreur, nous
1715_Lesage_GilBlas1	parvînmes à une cuisine où une vieille femme	faisait	rôtir des viandes sur un brasier, et préparait le souper.
1715_Lesage_GilBlas1	rôtir des viandes sur un brasier, et	préparait	le souper. La cuisine était ornée des ustensiles nécessaires, et
1715_Lesage_GilBlas1	, et préparait le souper. La cuisine	était	ornée des ustensiles nécessaires, et tout auprès on voyait une office
1715_Lesage_GilBlas1	des ustensiles nécessaires, et tout auprès on	voyait	une office pourvue de toutes sortes de provisions. La cuisinière (
1715_Lesage_GilBlas1	faut que j’en fasse le portrait)	était	une personne de soixante et quelques années. Elle avait eu dans
1715_Lesage_GilBlas1	personne de soixante et quelques années. Elle	avait	eu dans sa jeunesse les cheveux d’un blond très ardent ;
1715_Lesage_GilBlas1	très ardent ; car le temps ne les	avait	pas si bien blanchis, qu’ils n’eussent encore quelques nuances
1715_Lesage_GilBlas1	couleur. Outre un teint olivâtre, elle	avait	un menton pointu et relevé, avec des lèvres fort enfoncées ;
1715_Lesage_GilBlas1	fort enfoncées ; un grand nez aquilin lui	descendait	sur la bouche, et ses yeux paraissaient d’un très beau
1715_Lesage_GilBlas1	descendait sur la bouche, et ses yeux	paraissaient	d’un très beau rouge pourpré. Tenez, dame Léonarde,
1715_Lesage_GilBlas1	de mon côté, et remarquant que j’	étais	pâle et défait : Mon ami, me dit -il, reviens
1715_Lesage_GilBlas1	ne te veut faire aucun mal. Nous	avions	besoin d’un valet pour soulager notre cuisinière ; nous t’avons
1715_Lesage_GilBlas1	est laissé mourir depuis quinze jours. C’	était	un jeune homme d’une complexion très délicate. Tu me parais
1715_Lesage_GilBlas1	d’une complexion très délicate. Tu me	parais	plus robuste que lui : tu ne mourras pas sitôt. Véritablement
1715_Lesage_GilBlas1	de pots de terre bien bouchés, qui	étaient	pleins, disait -il, d’un vin excellent. Ensuite il
1715_Lesage_GilBlas1	terre bien bouchés, qui étaient pleins,	disait	-il, d’un vin excellent. Ensuite il me fit traverser
1715_Lesage_GilBlas1	chambres. Dans les unes, il y	avait	des pièces de toile ; dans les autres, des étoffes de
1715_Lesage_GilBlas1	un grand salon que trois lustres de cuivre	éclairaient	, et qui servait de communication à d’autres chambres. Il
1715_Lesage_GilBlas1	trois lustres de cuivre éclairaient, et qui	servait	de communication à d’autres chambres. Il me fit là de
1715_Lesage_GilBlas1	questions. Il me demanda comment je me	nommais	, pourquoi j’étais sorti d’Oviédo ; et lorsque j’eus
1715_Lesage_GilBlas1	demanda comment je me nommais, pourquoi j’	étais	sorti d’Oviédo ; et lorsque j’eus satisfait sa curiosité :
1715_Lesage_GilBlas1	Asturies, où le vaillant don Pélage s’	était	retiré. Fugitifs et dispersés par pelotons, ils vivaient dans les
1715_Lesage_GilBlas1	. Fugitifs et dispersés par pelotons, ils	vivaient	dans les montagnes ou dans les bois. Les uns demeuraient dans
1715_Lesage_GilBlas1	montagnes ou dans les bois. Les uns	demeuraient	dans les cavernes, et les autres firent plusieurs souterrains, du
1715_Lesage_GilBlas1	eurent tous ensemble. Comme le seigneur Rolando	achevait	de parler de cette sorte, il parut dans le salon six
1715_Lesage_GilBlas1	dans le salon six nouveaux visages. C’	était	le lieutenant avec cinq hommes de la troupe qui revenaient chargés du
1715_Lesage_GilBlas1	lieutenant avec cinq hommes de la troupe qui	revenaient	chargés du butin. Ils apportaient deux mannequins remplis de sucre,
1715_Lesage_GilBlas1	troupe qui revenaient chargés du butin. Ils	apportaient	deux mannequins remplis de sucre, de cannelle, de poivre,
1715_Lesage_GilBlas1	au capitaine, et lui dit qu’il	venait	d’enlever ces mannequins à un épicier de Benavente, dont il
1715_Lesage_GilBlas1	à un épicier de Benavente, dont il	avait	aussi pris le mulet. Après qu’il eut rendu compte de
1715_Lesage_GilBlas1	dame Léonarde m’instruisit de ce que j’	avais	à faire. Je cédai à la nécessité, puisque mon mauvais
1715_Lesage_GilBlas1	la nécessité, puisque mon mauvais sort le	voulait	ainsi ; et, dévorant ma douleur, je me préparai à
1715_Lesage_GilBlas1	ce bon vin que le seigneur Rolando m’	avait	vanté : j’apportai ensuite deux ragoûts, qui ne furent pas
